Timestamp,Protocol,Local_Address,Remote_Address,Status
2026-03-17 12:21:19,TCP,192.168.16.235:65396,20.195.84.7:443,ESTABLISHED
2026-03-17 12:21:19,TCP,127.0.0.1:65336,127.0.0.1:65337,ESTABLISHED
2026-03-17 12:21:19,TCP,192.168.16.235:63573,142.250.193.170:443,ESTABLISHED
2026-03-17 12:21:19,TCP,192.168.16.235:63243,13.89.179.9:443,ESTABLISHED
2026-03-17 12:21:19,TCP,192.168.16.235:53592,40.104.122.114:443,ESTABLISHED
2026-03-17 12:21:19,TCP,192.168.16.235:59270,199.232.101.91:443,ESTABLISHED
2026-03-17 12:21:19,TCP,192.168.16.235:54575,172.253.118.188:5228,ESTABLISHED
2026-03-17 12:21:19,TCP,192.168.16.235:57239,140.82.113.25:443,ESTABLISHED
2026-03-17 12:21:19,TCP,192.168.16.235:49842,142.251.10.188:5228,ESTABLISHED
2026-03-17 12:21:19,TCP,192.168.16.235:53115,34.107.243.93:443,ESTABLISHED
2026-03-17 12:21:19,TCP,127.0.0.1:64261,127.0.0.1:64262,ESTABLISHED
2026-03-17 12:21:19,TCP,192.168.16.235:49428,4.213.25.240:443,ESTABLISHED
2026-03-17 12:21:19,TCP,192.168.16.235:56297,76.223.92.165:443,ESTABLISHED
2026-03-17 12:21:19,TCP,127.0.0.1:65337,127.0.0.1:65336,ESTABLISHED
2026-03-17 12:21:19,TCP,127.0.0.1:5796,127.0.0.1:51386,ESTABLISHED
2026-03-17 12:21:19,TCP,192.168.16.235:54711,20.42.73.28:443,ESTABLISHED
2026-03-17 12:21:19,TCP,192.168.16.235:49431,4.213.25.242:443,ESTABLISHED
2026-03-17 12:21:19,TCP,127.0.0.1:64262,127.0.0.1:64261,ESTABLISHED
2026-03-17 12:21:19,TCP,192.168.16.235:49807,140.82.114.21:443,ESTABLISHED
2026-03-17 12:21:19,TCP,192.168.16.235:59850,20.192.44.82:443,ESTABLISHED
2026-03-17 12:21:19,TCP,127.0.0.1:51386,127.0.0.1:5796,ESTABLISHED
2026-03-17 12:21:19,TCP,192.168.16.235:56095,13.248.151.210:443,ESTABLISHED
2026-03-17 12:21:19,TCP,192.168.16.235:7680,10.1.10.67:56888,ESTABLISHED
2026-03-17 12:21:20,TCP,192.168.16.235:54713,140.82.114.21:443,ESTABLISHED
2026-03-17 12:21:22,TCP,192.168.16.235:54716,140.82.114.21:443,ESTABLISHED
2026-03-17 12:21:38,TCP,192.168.16.235:59950,140.82.114.21:443,ESTABLISHED
2026-03-17 12:21:53,TCP,192.168.16.235:53915,140.82.114.21:443,ESTABLISHED
2026-03-17 12:21:53,TCP,192.168.16.235:53913,140.82.114.21:443,ESTABLISHED
2026-03-17 12:22:24,TCP,192.168.16.235:53962,13.107.6.158:443,ESTABLISHED
2026-03-17 12:22:24,TCP,192.168.16.235:53115,34.107.243.93:443,ESTABLISHED
2026-03-17 12:22:24,TCP,192.168.16.235:53592,40.104.122.114:443,ESTABLISHED
2026-03-17 12:22:24,TCP,192.168.16.235:56095,13.248.151.210:443,ESTABLISHED
2026-03-17 12:22:24,TCP,127.0.0.1:65336,127.0.0.1:65337,ESTABLISHED
2026-03-17 12:22:24,TCP,127.0.0.1:51386,127.0.0.1:5796,ESTABLISHED
2026-03-17 12:22:24,TCP,192.168.16.235:59270,199.232.101.91:443,ESTABLISHED
2026-03-17 12:22:24,TCP,192.168.16.235:63243,13.89.179.9:443,ESTABLISHED
2026-03-17 12:22:24,TCP,127.0.0.1:64261,127.0.0.1:64262,ESTABLISHED
2026-03-17 12:22:24,TCP,127.0.0.1:5796,127.0.0.1:51386,ESTABLISHED
2026-03-17 12:22:24,TCP,192.168.16.235:7680,10.1.10.67:56888,ESTABLISHED
2026-03-17 12:22:24,TCP,192.168.16.235:65396,20.195.84.7:443,ESTABLISHED
